"ASVNumber","tax.Domain","tax.Supergroup","tax.Division","tax.Subdivision","tax.Class","tax.Order","tax.Family","tax.Genus","tax.Species","boot.Domain","boot.Supergroup","boot.Division","boot.Subdivision","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV_00001","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_bravo_B1",100,100,100,100,100,100,100,100,67
"ASV_00002","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus_prasinos",100,100,100,100,100,100,100,100,100
"ASV_00003","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,96,35,34,28,27,27,27,27,27
"ASV_00004","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00005","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-8","Dino-Group-II-Clade-8_X","Dino-Group-II-Clade-8_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00006","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Teleaulax","Teleaulax_gracilis",100,100,100,100,100,100,100,100,100
"ASV_00007","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,100,100,100,100,43,34,33,30
"ASV_00008","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Plagioselmis","Plagioselmis_prolonga",100,100,100,100,100,100,100,100,100
"ASV_00009","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Sulculeolaria","Sulculeolaria_quadrivalvis",100,100,100,100,100,100,100,93,93
"ASV_00010","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-13","Dino-Group-II-Clade-13_X","Dino-Group-II-Clade-13_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00011","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Mediolabrus","Mediolabrus_comicus",100,100,100,100,100,100,100,100,100
"ASV_00012","Eukaryota","Archaeplastida","Picozoa","Picozoa_subdivision_1","Picomonadea","Picomonadida","Picomonadidae","Picomonas","Picomonas_sp.",100,100,100,100,100,99,99,99,99
"ASV_00013","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae",NA,NA,100,100,100,100,100,100,80,40,40
"ASV_00014","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Tontoniidae","Laboea","Laboea_sp.",100,100,100,100,100,100,100,100,100
"ASV_00015","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-16","Dino-Group-II-Clade-16_X","Dino-Group-II-Clade-16_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00016","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,98,97,97,97,47,24,20,20
"ASV_00017","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00018","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X",NA,NA,100,100,100,100,100,100,100,42,42
"ASV_00019","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00020","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,62,62,62
"ASV_00021","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium_sp.",100,100,100,100,100,100,100,98,98
"ASV_00022","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_jinhaense",100,100,100,100,100,100,99,99,69
"ASV_00023","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_bravo_B2",100,100,100,100,100,100,100,100,100
"ASV_00024","Eukaryota","Obazoa","Opisthokonta","Metazoa","Ctenophora","Ctenophora_X","Ctenophora_XX",NA,NA,100,100,100,100,100,100,100,29,29
"ASV_00025","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Teleaulax",NA,100,100,100,100,100,100,92,60,28
"ASV_00026","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_clade_B4",100,100,100,100,100,100,100,100,100
"ASV_00027","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-16","Dino-Group-II-Clade-16_X","Dino-Group-II-Clade-16_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00028","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_commoda_A2",100,100,100,100,100,100,100,100,88
"ASV_00029","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Tontoniidae","Pseudotontonia","Pseudotontonia_sp.",100,100,100,100,100,100,100,100,96
"ASV_00030","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00031","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum",NA,100,100,100,100,100,75,75,75,49
"ASV_00032","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa",NA,NA,100,100,100,100,100,100,97,44,44
"ASV_00033","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-7","Dino-Group-II-Clade-7_X","Dino-Group-II-Clade-7_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00034","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.",100,100,100,100,100,71,71,71,71
"ASV_00035","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00036","Eukaryota","Archaeplastida","Picozoa","Picozoa_subdivision_1","Picomonadea","Picomonadida","Picomonadidae","Picomonas","Picomonas_sp.",100,100,100,96,96,72,72,72,72
"ASV_00037","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-7","Dino-Group-II-Clade-7_X","Dino-Group-II-Clade-7_X_sp.",100,100,100,100,100,100,99,99,99
"ASV_00038","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Plagioselmis","Plagioselmis_prolonga",100,100,100,100,100,100,100,100,100
"ASV_00039","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa_rotundata",100,100,100,100,100,98,98,98,98
"ASV_00040","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-3","Dino-Group-II-Clade-3_X","Dino-Group-II-Clade-3_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00041","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_helveticum",100,100,100,100,100,97,97,92,61
"ASV_00042","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida-Tintinnina",NA,NA,NA,100,100,100,100,100,71,31,13,2
"ASV_00043","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-5","Dino-Group-I-Clade-5_X","Dino-Group-I-Clade-5_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00044","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Tontoniidae","Spirotontonia","Spirotontonia_sp.",100,100,100,100,100,100,100,99,99
"ASV_00045","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_socialis",100,100,100,100,100,100,100,100,92
"ASV_00046","Eukaryota","TSAR","Stramenopiles","Gyrista","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonas","Pelagomonas_calceolata",100,100,100,100,100,100,100,100,100
"ASV_00047","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-8","Dino-Group-II-Clade-8_X","Dino-Group-II-Clade-8_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00048","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Sulculeolaria","Sulculeolaria_quadrivalvis",100,100,100,100,100,100,100,76,76
"ASV_00049","Eukaryota","Archaeplastida","Picozoa","Picozoa_subdivision_1","Picozoa_subdivision_1B","Picozoa_subdivision_1B_X","Picozoa_subdivision_1B_XX","Picozoa_subdivision_1B_XXX","Picozoa_subdivision_1B_XXX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00050","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Teleaulax","Teleaulax_sp.",100,100,100,100,100,100,100,99,93
"ASV_00051","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00052","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00053","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Torodiniales","Torodiniaceae","Torodinium","Torodinium_robustum",100,100,100,100,100,98,98,98,98
"ASV_00054","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.",100,100,100,100,100,59,59,59,59
"ASV_00055","Eukaryota","Obazoa","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Appendicularia","Appendicularia_X","Appendicularia_X_sp.",100,100,100,100,100,100,100,99,99
"ASV_00056","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Sagenista_X","MAST-4","MAST-4A","MAST-4A_sp.",100,100,100,100,100,100,100,100,100
"ASV_00057","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-7","Dino-Group-II-Clade-7_X","Dino-Group-II-Clade-7_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00058","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-32","Dino-Group-II-Clade-32_X","Dino-Group-II-Clade-32_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00059","Eukaryota","TSAR","Rhizaria","Radiolaria","Acantharea","Acantharea_F","Acantharea_F3","Acanthometra","Acanthometra_pellucida",100,100,100,100,100,100,81,81,80
"ASV_00060","Eukaryota:nucl","Cryptista:nucl","Cryptophyta:nucl","Cryptophyta_X:nucl","Cryptophyceae:nucl","Cryptomonadales:nucl","Cryptomonadales_X:nucl","Plagioselmis:nucl","Plagioselmis_lacustris:nucl",100,100,100,100,100,92,90,57,57
"ASV_00061","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.",100,100,100,100,100,73,73,73,73
"ASV_00062","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00063","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium_sp.",100,100,100,100,100,85,82,64,62
"ASV_00064","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_dominans",100,100,100,100,100,100,100,100,100
"ASV_00065","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Warnowiaceae","Warnowia","Warnowia_sp.",100,100,100,100,100,98,53,53,53
"ASV_00066","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Choreotrichida_X","Choreotrichida_XX","Choreotrichida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00067","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia_galaxiae",100,100,100,100,100,100,100,100,64
"ASV_00068","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum_sp.",100,100,100,100,100,89,89,89,87
"ASV_00069","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00070","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,87,87,87
"ASV_00071","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-III","Dino-Group-III_X","Dino-Group-III_XX","Dino-Group-III_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00072","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Sagenista_X","MAST-4","MAST-4E","MAST-4E_sp.",100,100,100,100,100,100,100,100,100
"ASV_00073","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00074","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00075","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II",NA,NA,NA,100,100,100,100,96,96,40,40,40
"ASV_00076","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Sulculeolaria","Sulculeolaria_quadrivalvis",100,100,100,100,100,100,100,92,92
"ASV_00077","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_spirale",100,100,100,100,100,100,100,100,95
"ASV_00078","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.",100,100,100,100,100,79,79,79,79
"ASV_00079","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-26","Dino-Group-II-Clade-26_X","Dino-Group-II-Clade-26_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00080","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp.",100,100,100,100,100,95,95,95,95
"ASV_00081","Eukaryota","TSAR","Stramenopiles","Gyrista","Dictyochophyceae","Dictyochophyceae_X","Dictyochales","Dictyocha","Dictyocha_sp.",100,100,100,100,100,100,100,98,82
"ASV_00082","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00083","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-14","Dino-Group-II-Clade-14_X","Dino-Group-II-Clade-14_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00084","Eukaryota:nucl","Cryptista:nucl","Cryptophyta:nucl","Cryptophyta_X:nucl","Cryptophyceae:nucl","Cryptomonadales:nucl","Cryptomonadales_X:nucl",NA,NA,73,73,73,73,73,72,72,41,41
"ASV_00085","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Sagenista_X","MAST-4","MAST-4B","MAST-4B_sp.",100,100,100,100,100,100,100,79,79
"ASV_00086","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidiidae_X","Strombidiidae_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00087","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,100,100,100,100,39,27,24,23
"ASV_00088","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_rubrum",100,100,100,100,100,92,91,90,58
"ASV_00089","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-4","Dino-Group-I-Clade-4_X","Dino-Group-I-Clade-4_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00090","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-32","Dino-Group-II-Clade-32_X","Dino-Group-II-Clade-32_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00091","Eukaryota","Obazoa","Opisthokonta","Metazoa","Craniata","Craniata_X","Teleostei",NA,NA,100,100,100,100,100,100,100,13,13
"ASV_00092","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Cyrtophoria_1","PHYLL_4","PHYLL_4_X","PHYLL_4_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00093","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidiidae_X","Strombidiidae_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00094","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,100,100,100,100,34,34,34,34
"ASV_00095","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,99,87,87,82,81,41,31,31,31
"ASV_00096","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_fusiforme",100,100,100,100,100,95,94,89,58
"ASV_00097","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-III","Dino-Group-III_X","Dino-Group-III_XX","Dino-Group-III_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00098","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00099","Eukaryota:nucl","Cryptista:nucl","Cryptophyta:nucl","Cryptophyta_X:nucl","Cryptophyceae:nucl","Cryptomonadales:nucl","Cryptomonadales_X:nucl","Plagioselmis:nucl","Plagioselmis_lacustris:nucl",100,100,100,100,100,97,95,71,71
"ASV_00100","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00101","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-8","Dino-Group-II-Clade-8_X","Dino-Group-II-Clade-8_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00102","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,100,100,100,100,47,47,47,33
"ASV_00103","Eukaryota","TSAR","Stramenopiles","Gyrista","Gyrista_X","Gyrista_XX","MAST-1","MAST-1C","MAST-1C_sp.",100,100,100,100,100,100,100,100,100
"ASV_00104","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Anthozoa","Parazoanthus","Parazoanthus_sp.",100,100,100,100,100,100,100,93,74
"ASV_00105","Eukaryota","TSAR","Alveolata","Ciliophora","CONTH_7","CONTH_7_X","CONTH_7_XX","CONTH_7_XXX","CONTH_7_XXX_sp.",100,100,100,100,69,69,69,69,69
"ASV_00106","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales",NA,NA,NA,100,100,100,100,100,53,49,48,47
"ASV_00107","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidiidae_X","Strombidiidae_X_sp.",100,100,100,100,100,100,96,96,96
"ASV_00108","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidiidae_X","Strombidiidae_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00109","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-26","Dino-Group-II-Clade-26_X","Dino-Group-II-Clade-26_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00110","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-III","Dino-Group-III_X","Dino-Group-III_XX","Dino-Group-III_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00111","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-16","Dino-Group-II-Clade-16_X","Dino-Group-II-Clade-16_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00112","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00113","Eukaryota","TSAR","Stramenopiles","Bigyra","Opalozoa","Nanomonadea","MAST-3","MAST-3C","MAST-3C_sp.",100,100,100,100,100,100,100,100,100
"ASV_00114","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II_X","Dino-Group-II_XX","Dino-Group-II_XX_sp.",100,100,100,100,100,100,100,86,86
"ASV_00115","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae",NA,NA,100,100,100,100,100,74,70,21,15
"ASV_00116","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales",NA,NA,NA,100,100,100,100,100,51,41,41,41
"ASV_00117","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00118","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Sagenista_X","MAST-7","MAST-7B","MAST-7B_sp.",100,100,100,100,100,100,100,100,100
"ASV_00119","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00120","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales",NA,NA,NA,100,100,100,100,100,59,32,32,30
"ASV_00121","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-4","Dino-Group-I-Clade-4_X","Dino-Group-I-Clade-4_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00122","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp.",100,100,100,100,100,100,56,56,56
"ASV_00123","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium",NA,100,100,100,100,100,90,90,86,40
"ASV_00124","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Choreotrichida_X","Choreotrichida_XX","Choreotrichida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00125","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_fusiforme",100,100,100,100,100,92,92,92,55
"ASV_00126","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X",NA,NA,100,100,100,100,100,100,100,43,43
"ASV_00127","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Bathycoccaceae","Ostreococcus","Ostreococcus_lucimarinus",100,100,100,100,100,100,100,100,71
"ASV_00128","Eukaryota","TSAR","Stramenopiles","Gyrista","MOCH-2","MOCH-2_X","MOCH-2_XX","MOCH-2_XXX","MOCH-2_XXX_sp.",100,100,100,100,98,98,98,98,98
"ASV_00129","Eukaryota","Archaeplastida","Picozoa","Picozoa_subdivision_1","Picomonadea","Picomonadida","Picomonadidae","Picomonas","Picomonas_sp.",100,100,100,100,100,98,98,98,98
"ASV_00130","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-7","Dino-Group-II-Clade-7_X","Dino-Group-II-Clade-7_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00131","Eukaryota","Obazoa","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Appendicularia","Oikopleura","Oikopleura_sp.",100,100,100,100,100,100,100,100,100
