"ASVNumber","tax.Domain","tax.Supergroup","tax.Division","tax.Subdivision","tax.Class","tax.Order","tax.Family","tax.Genus","tax.Species","boot.Domain","boot.Supergroup","boot.Division","boot.Subdivision","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV_00317","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-20","Dino-Group-II-Clade-20_X","Dino-Group-II-Clade-20_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00318","Eukaryota","TSAR","Alveolata","Ciliophora","Litostomatea","Haptoria_4","Didiniidae","Didiniidae_X","Didiniidae_X_sp.",100,100,100,100,100,98,98,96,96
"ASV_00319","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00320","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00321","Eukaryota:nucl","Cryptista:nucl","Cryptophyta:nucl","Cryptophyta_X:nucl","Cryptophyceae:nucl","Cryptomonadales:nucl","Cryptomonadales_X:nucl",NA,NA,98,98,98,98,98,64,63,31,31
"ASV_00322","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-36","Dino-Group-II-Clade-36_X","Dino-Group-II-Clade-36_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00323","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-22","Dino-Group-II-Clade-22_X","Dino-Group-II-Clade-22_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00324","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Centropages","Centropages_typicus",100,100,100,100,100,100,100,100,100
"ASV_00325","Eukaryota","TSAR","Alveolata","Ciliophora","CONThreeP","CONThreeP_X","Discotrichidae","NASSO_1","NASSO_1_sp.",100,100,100,100,100,100,100,100,100
"ASV_00326","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II",NA,NA,NA,99,91,91,90,88,88,28,28,28
"ASV_00327","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00328","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,95,95,95
"ASV_00329","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida-Tintinnina","Tintinnidae","Tintinnidae_X","Tintinnidae_X_sp.",100,100,100,100,100,100,100,56,56
"ASV_00330","Eukaryota","Archaeplastida","Picozoa","Picozoa_subdivision_2","Picozoa_subdivision_2_X","Picozoa_subdivision_2_XX","Picozoa_subdivision_2_XXX","Picozoa_subdivision_2_XXXX","Picozoa_subdivision_2_XXXX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00331","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-5","Dino-Group-I-Clade-5_X","Dino-Group-I-Clade-5_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00332","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-13","Dino-Group-II-Clade-13_X","Dino-Group-II-Clade-13_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00333","Eukaryota","TSAR","Stramenopiles","Bigyra","Opalozoa","Nanomonadea","MAST-3","MAST-3I","MAST-3I_sp.",100,100,100,100,100,100,100,100,100
"ASV_00334","Eukaryota:nucl","Cryptista:nucl","Cryptophyta:nucl","Cryptophyta_X:nucl","Cryptophyceae:nucl","Cryptomonadales:nucl","Cryptomonadales_X:nucl","Plagioselmis:nucl","Plagioselmis_lacustris:nucl",100,100,100,100,100,98,96,58,58
"ASV_00335","Eukaryota","TSAR","Rhizaria","Cercozoa","Chlorarachniophyceae","Chlorarachniophyceae_X","NPK2-lineage","NPK2-lineage_X","NPK2-lineage_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00336","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-22","Dino-Group-II-Clade-22_X","Dino-Group-II-Clade-22_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00337","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00338","Eukaryota","Obazoa","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Vrijenhoekia","Vrijenhoekia_balaenophila",100,100,100,100,100,100,100,98,98
"ASV_00339","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00340","Eukaryota","TSAR","Stramenopiles","Gyrista","Gyrista_X","Gyrista_XX","MAST-1","MAST-1D","MAST-1D_sp.",100,100,100,100,100,100,100,100,100
"ASV_00341","Eukaryota","TSAR","Telonemia","Telonemia_X","Telonemia_XX","Telonemia_XXX","Telonemia-Group-2","Telonemia-Group-2_X","Telonemia-Group-2_X_sp.",100,100,100,100,100,100,93,93,93
"ASV_00342","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-3","Dino-Group-II-Clade-3_X","Dino-Group-II-Clade-3_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00343","Eukaryota","Obazoa","Opisthokonta","Metazoa","Craniata","Craniata_X","Craniata_XX",NA,NA,100,100,100,100,100,100,76,39,39
"ASV_00344","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00345","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00346","Eukaryota","Cryptista","Kathablepharidacea","Kathablepharida","Kathablepharidea","Kathablepharidida","Kathablepharidida_X","Kathablepharidida_XX","Kathablepharidida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00347","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidium","Strombidium_sp.",100,100,100,100,100,97,96,73,72
"ASV_00348","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,100,100,100,100,100,100,100,100
